type,timestamp,interval,value
2,2025-09-01T00:00:00+00:00,900,0.2150
1,2025-09-01T00:00:00+00:00,900,0.0000
3,2025-09-01T00:00:00+00:00,900,0.0000
4,2025-09-01T00:00:00+00:00,900,0.0000
11,2025-09-01T00:00:00+00:00,900,0.8600
10,2025-09-01T00:00:00+00:00,900,0.0000
13,2025-09-01T00:00:00+00:00,900,0.0000
12,2025-09-01T00:00:00+00:00,900,0.0000
2,2025-09-01T00:15:00+00:00,900,0.1280
1,2025-09-01T00:15:00+00:00,900,0.0000
3,2025-09-01T00:15:00+00:00,900,0.0000
4,2025-09-01T00:15:00+00:00,900,0.0000
11,2025-09-01T00:15:00+00:00,900,0.5120
10,2025-09-01T00:15:00+00:00,900,0.0000
13,2025-09-01T00:15:00+00:00,900,0.0000
12,2025-09-01T00:15:00+00:00,900,0.0000
2,2025-09-01T00:30:00+00:00,900,0.0890
1,2025-09-01T00:30:00+00:00,900,0.0000
3,2025-09-01T00:30:00+00:00,900,0.0000
4,2025-09-01T00:30:00+00:00,900,0.0000
11,2025-09-01T00:30:00+00:00,900,0.3560
10,2025-09-01T00:30:00+00:00,900,0.0000
13,2025-09-01T00:30:00+00:00,900,0.0000
12,2025-09-01T00:30:00+00:00,900,0.0000
2,2025-09-01T00:45:00+00:00,900,0.0850
1,2025-09-01T00:45:00+00:00,900,0.0000
3,2025-09-01T00:45:00+00:00,900,0.0000
4,2025-09-01T00:45:00+00:00,900,0.0000
11,2025-09-01T00:45:00+00:00,900,0.3400
10,2025-09-01T00:45:00+00:00,900,0.0000
13,2025-09-01T00:45:00+00:00,900,0.0000
12,2025-09-01T00:45:00+00:00,900,0.0000
2,2025-09-01T01:00:00+00:00,900,0.0790
1,2025-09-01T01:00:00+00:00,900,0.0000
3,2025-09-01T01:00:00+00:00,900,0.0000
4,2025-09-01T01:00:00+00:00,900,0.0000
11,2025-09-01T01:00:00+00:00,900,0.3160
10,2025-09-01T01:00:00+00:00,900,0.0000
13,2025-09-01T01:00:00+00:00,900,0.0000
12,2025-09-01T01:00:00+00:00,900,0.0000
2,2025-09-01T01:15:00+00:00,900,0.0700
1,2025-09-01T01:15:00+00:00,900,0.0000
3,2025-09-01T01:15:00+00:00,900,0.0000
4,2025-09-01T01:15:00+00:00,900,0.0000
11,2025-09-01T01:15:00+00:00,900,0.2800
10,2025-09-01T01:15:00+00:00,900,0.0000
13,2025-09-01T01:15:00+00:00,900,0.0000
12,2025-09-01T01:15:00+00:00,900,0.0000
2,2025-09-01T01:30:00+00:00,900,0.0710
1,2025-09-01T01:30:00+00:00,900,0.0000
3,2025-09-01T01:30:00+00:00,900,0.0000
4,2025-09-01T01:30:00+00:00,900,0.0000
11,2025-09-01T01:30:00+00:00,900,0.2840
10,2025-09-01T01:30:00+00:00,900,0.0000
13,2025-09-01T01:30:00+00:00,900,0.0000
12,2025-09-01T01:30:00+00:00,900,0.0000
2,2025-09-01T01:45:00+00:00,900,0.0710
1,2025-09-01T01:45:00+00:00,900,0.0000
3,2025-09-01T01:45:00+00:00,900,0.0000
4,2025-09-01T01:45:00+00:00,900,0.0000
11,2025-09-01T01:45:00+00:00,900,0.2840
10,2025-09-01T01:45:00+00:00,900,0.0000
13,2025-09-01T01:45:00+00:00,900,0.0000
12,2025-09-01T01:45:00+00:00,900,0.0000
2,2025-09-01T02:00:00+00:00,900,0.0700
1,2025-09-01T02:00:00+00:00,900,0.0000
3,2025-09-01T02:00:00+00:00,900,0.0000
4,2025-09-01T02:00:00+00:00,900,0.0000
11,2025-09-01T02:00:00+00:00,900,0.2800
10,2025-09-01T02:00:00+00:00,900,0.0000
13,2025-09-01T02:00:00+00:00,900,0.0000
12,2025-09-01T02:00:00+00:00,900,0.0000
2,2025-09-01T02:15:00+00:00,900,0.0710
1,2025-09-01T02:15:00+00:00,900,0.0000
3,2025-09-01T02:15:00+00:00,900,0.0000
4,2025-09-01T02:15:00+00:00,900,0.0000
11,2025-09-01T02:15:00+00:00,900,0.2840
10,2025-09-01T02:15:00+00:00,900,0.0000
13,2025-09-01T02:15:00+00:00,900,0.0000
12,2025-09-01T02:15:00+00:00,900,0.0000
2,2025-09-01T02:30:00+00:00,900,0.0710
1,2025-09-01T02:30:00+00:00,900,0.0000
3,2025-09-01T02:30:00+00:00,900,0.0000
4,2025-09-01T02:30:00+00:00,900,0.0000
11,2025-09-01T02:30:00+00:00,900,0.2840
10,2025-09-01T02:30:00+00:00,900,0.0000
13,2025-09-01T02:30:00+00:00,900,0.0000
12,2025-09-01T02:30:00+00:00,900,0.0000
2,2025-09-01T02:45:00+00:00,900,0.0750
1,2025-09-01T02:45:00+00:00,900,0.0000
3,2025-09-01T02:45:00+00:00,900,0.0000
4,2025-09-01T02:45:00+00:00,900,0.0000
11,2025-09-01T02:45:00+00:00,900,0.3000
10,2025-09-01T02:45:00+00:00,900,0.0000
13,2025-09-01T02:45:00+00:00,900,0.0000
12,2025-09-01T02:45:00+00:00,900,0.0000
2,2025-09-01T03:00:00+00:00,900,0.0860
1,2025-09-01T03:00:00+00:00,900,0.0000
